storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
583,Tue May 22 00:00:00 -0400 1984,Mon Mar 01 00:00:00 -0500 1999,1,47,151,19740 ALBERTA STREET,Oneida,TN,37841,Supercenter,36.534016,-84.486699
584,Tue Oct 16 00:00:00 -0400 1984,Mon Mar 01 00:00:00 -0500 1999,1,21,081,20 FERGUSON BLVD.,Dry Ridge,KY,41035,Supercenter,38.732567,-84.596609
585,Wed Feb 01 00:00:00 -0500 1984,Fri Mar 01 00:00:00 -0500 2002,1,45,091,2377 DAVE LYLE BLVD.,Rock Hill,SC,29730,Supercenter,34.94168,-80.961787
586,Thu Jun 02 00:00:00 -0400 1988,Sun Mar 01 00:00:00 -0500 1998,1,45,051,2709-A CHURCH STREET,Conway,SC,29526,Supercenter,33.859839,-79.08906
587,Tue May 22 00:00:00 -0400 1984,Mon Mar 01 00:00:00 -0500 2004,1,47,185,202 SAM WALTON DRIVE,Sparta,TN,38583,Supercenter,36.178932,-85.79877
588,Tue Mar 06 00:00:00 -0500 1984,Mon Mar 01 00:00:00 -0500 2004,1,13,177,2825 LEDO ROAD,Albany,GA,31707,Supercenter,31.62256,-84.218859
589,Wed Feb 01 00:00:00 -0500 1984,Mon Mar 01 00:00:00 -0500 1999,1,21,111,11901 STANDIFORD PLAZA ROAD,Louisville,KY,40229,Supercenter,38.089533,-85.667819
590,Fri Aug 31 00:00:00 -0400 1984,Wed Apr 21 00:00:00 -0400 2004,1,48,439,6300 OAKMONT BLVD (HULEN),Ft. Worth,TX,76132,Supercenter,32.679435,-97.394131
591,Tue Sep 18 00:00:00 -0400 1984,,,21,097,US 27 SOUTH,Cynthiana,KY,41031,Wal-Mart,38.389095,-84.297613
592,Thu Aug 02 00:00:00 -0400 1984,Sat Mar 01 00:00:00 -0500 1997,1,20,173,2020 NORTH SE BLVD,Derby,KS,67037,Supercenter,37.604015,-97.500756
593,Tue Oct 16 00:00:00 -0400 1984,Fri Mar 01 00:00:00 -0500 1996,1,13,069,1450 SOUTHEAST BOWENS MILL RD,Douglas,GA,31533,Supercenter,31.527836,-82.877349
594,Tue Apr 17 00:00:00 -0500 1984,Fri Mar 01 00:00:00 -0500 1996,1,13,113,125 PAVILLION PARKWAY,Fayetteville,GA,30214,Supercenter,33.48031,-84.439328
595,Tue Oct 02 00:00:00 -0400 1984,Tue Mar 01 00:00:00 -0500 1994,1,48,061,1801 WEST LINCOLN AVE,Harlingen,TX,78552,Supercenter,26.223224,-97.759918
596,Tue Oct 16 00:00:00 -0400 1984,,,17,199,1713 SOUTH PARK AVENUE,Herrin,IL,62948,Wal-Mart,37.787277,-89.02751
